product_id,category_id,name,product_slug,brand,model,description,manufacturer,thumbnail_image,rating,price,,,,,,,,,,,,,,
11,1,"VIZIO 24 Class D-Series FHD LED Smart TV D24f-J09""","VIZIO-24-Class-D-Series-FHD-LED-Smart-TV-D24f-J09""",VIZIO,D24f-J09,Versatility and performance collide with the new D-Series FHD Smart TV that comes loaded with a full array backlight for better contrast and uniformity; brilliant 1080p Full HD resolution and an ultra-fast VIZIO IQ processor with support for immersive audio pass-through for Dolby Atmos and DTS:X. Game on with the V-Gaming Engine that enables next-level gaming performance with features like Variable Refresh Rate with AMD FreeSync; auto game mode; low-latency gaming; and newly added gaming menu. D-Series blends power; speed and versatile size. Stream it all with the award-winning SmartCast platform loaded with the best selection of built-in apps including WatchFree+ that lets you enjoy free access to live TV and hundreds of free channels right out of the box. SmartCast also works with Apple AirPlay 2 and Chromecast built-in; offering unparalleled entertainment in a size that fits your lifestyle.,Vizio,https://i5.walmartimages.com/asr/cd945df7-7f88-4ac0-a6ed-9b6cf9c7435b.0e17ee59ef18fbb9ba9a14fa8589103a.jpeg,4.4,148,,,,,,,,,,,,,,
12,1,"TCL 32 Class 1080P FHD LED Roku Smart TV 3 Series 32S327""","TCL-32-Class-1080P-FHD-LED-Roku-Smart-TV-3-Series-32S327""",TCL,32S327,<p>The 3-Series TCL Roku TV puts all your entertainment favorites in one place; allowing seamless access to over 500;000movies and TV episodes; your cable box; gaming console; and other devices; all from our simple; intuitive Roku interface. The super-simple remote and dual-band wireless make it fast and easy to access your favorite content in high definition. Connect all your favorite devices with the three HDMI inputs. The built-in TV tuner makes this the ultimate cord-cutting TV as it also gives you the ability to access free; over-the-air HD content.</p>,TCL,https://i5.walmartimages.com/asr/fe7464f9-9701-41c5-86d8-09ee4738cf00_1.da520b520a0c87f5249a1bf74e3ab2df.jpeg,4.3,148,,,,,,,,,,,,,,
13,1,"Sceptre 43 Class 1080P FHD LED TV X435BV-F""","Sceptre-43-Class-1080P-FHD-LED-TV-X435BV-F""",Sceptre,X435BV-F,<p>Featuring a novel and lightweight design; the Sceptre 43 LED HDTV delivers riveting visuals and excitement beyond your expectations. 1080P Resolution provides exceptional brilliance and clarity in every pixel. With multiple HDMI ports; picture quality and streaming access is available at its fullest potential. Clear QAM conveniently delivers your cable channels without the need for an antenna. View your pictures as a slideshow or listen to your favorite music via the USB port. Just insert your flash drive into the USB port for the ultimate entertainment. Enjoy lifelike pictures complete with bright colors and crisp images with the Sceptre 43 LED HDTV.</p>,Sceptre,https://i5.walmartimages.com/asr/7b52e616-6bb6-49dd-9d43-b06e74c6287d.21a5b618d16b6f63ac438b7c5953b8db.png,4.1,158,,,,,,,,,,,,,,
14,1,onn. 42” Class FHD (1080P) LED Roku Smart TV (100068372),onn.-42”-Class-FHD-(1080P)-LED-Roku-Smart-TV-(100068372),onn.,100068372,"Binge on movies and TV episodes; news; sports; music and more! We insisted on 1080P Full High Definition for this 42” LED TV; bringing out more lifelike color; texture and detail. We also partnered with Roku to bring you the best possible content with thousands of channels to choose from; conveniently presented through your own customizable home screen. Watch via cable; satellite; HDTV antenna or just start streaming from your favorite app. Like the sound of your own voice? You can actually use it with the Roku mobile app to search for the title; artist; actor or director; or just go old-school with our handy remote. We handle all software updates too; automatically; so all you have to worry about is what to watch. Lose yourself in the ultimate viewing experience. We're onn.™ to something here. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple…to deliver great products and make it easy. Choose onn. and get back to using your brainpower for the important things in life like pondering the question; What should I binge watch this weekend?""""",onn.,https://i5.walmartimages.com/asr/cffb750b-8e86-49e6-b82d-d296c14942b1.3d972e231232417af23778fffcec9619.jpeg,4,158,,,,,,,,,,,,,,
15,1,"VIZIO 24 Class Full HD LED SmartCast Smart TV D-Series D24f4-J01""","VIZIO-24-Class-Full-HD-LED-SmartCast-Smart-TV-D-Series-D24f4-J01""",VIZIO,D24F4-J01,Versatility and performance collide with the new D-Series FHD Smart TV that comes loaded with a full array backlight for better contrast and uniformity; brilliant 1080p Full HD resolution and an ultra-fast VIZIO IQ processor with support for immersive audio pass-through for Dolby Atmos and DTS:X. Game on with the V-Gaming Engine that enables next-level gaming performance with features like Variable Refresh Rate with AMD FreeSync; auto game mode; low-latency gaming; and newly added gaming menu.   D-Series blends power; speed and versatile size. Stream it all with the award-winning SmartCast platform loaded with the best selection of built-in apps including WatchFree+ that lets you enjoy free access to live TV and hundreds of free channels right out of the box. SmartCast also works with Apple AirPlay 2 and Chromecast built-in; offering unparalleled entertainment in a size that fits your lifestyle.,Vizio,https://i5.walmartimages.com/asr/305a46e9-8121-493a-8ec0-2ae2cbeb28af.23ca94adf91532dd2e63c4ad4e966a74.jpeg,4.4,158,,,,,,,,,,,,,,
16,1,"JVC 32 Class HD (720P) Roku Smart LED TV LT-32MAW205""","JVC-32-Class-HD-(720P)-Roku-Smart-LED-TV-LT-32MAW205""",JVC,LT-32MAW205,Enjoy smart TV functionality in HD with the JVC MAW205 Select Series 32-In.-Class 720p HD Smart LED TV. The Roku TV operating system provides access to a variety of streaming apps and services; such as Netflix; Disney+; and Pandora. The TV uses an LED-backlit LCD panel and sports 3 HDMI inputs for digital HD sources like cable/satellite boxes and gaming consoles. Plus; you can display your JPEG photos from an optional USB drive. A composite video input lets you connect legacy devices; like a VCR. A remote is included as an added convenience.,JVC,https://i5.walmartimages.com/asr/e4870569-a601-4019-b729-54984fbde289.21a50f924aa6949dfdf80e9a5ecefd74.jpeg,4.5,168,,,,,,,,,,,,,,
17,1,"Hisense 40 Class 2K FHD LED LCD Roku Smart TV H4030F Series 40H4030F1""","Hisense-40-Class-2K-FHD-LED-LCD-Roku-Smart-TV-H4030F-Series-40H4030F1""",Hisense,40H4030F1,<p>For binge-watchers on a budget; be sure to call your spot on the couch. The H4030F1 is born ready with the built-in Roku TV platform; your private portal to more than 5;000 channels; and 500;000 movies and TV episodes. So; no matter how many people you have in your house; there are more than enough must-sees and OMGs to go around. Plus; to make the decision even easier; we made the H4030F1 even simpler. It is packed with built-in Wi-Fi and faster search. Just connect to the Internet; activate; and find your favorite show. With a rich picture and smart features made so easily attainable; it’s hard not to love the H4030F1.</p>,HISENSE USA CORPORATION,https://i5.walmartimages.com/asr/f6753c8d-8704-4cc8-aa96-4381877ee3f6.80b291996762a7e8907c1c5ee33c9177.jpeg,4.1,178,,,,,,,,,,,,,,
18,1,"VIZIO 32 Class D-Series FHD LED Smart TV D32f-J04""","VIZIO-32-Class-D-Series-FHD-LED-Smart-TV-D32f-J04""",VIZIO,D32f-J04,Versatility and performance collide with the new D-Series FHD Smart TV that comes loaded with a full array backlight for better contrast and uniformity; brilliant 1080p Full HD resolution and an ultra-fast VIZIO IQ processor with support for immersive audio pass-through for Dolby Atmos and DTS:X. Game on with the V-Gaming Engine that enables next-level gaming performance with features like Variable Refresh Rate with AMD FreeSync; auto game mode; low-latency gaming; and newly added gaming menu. D-Series blends power; speed and versatile size. Stream it all with the award-winning SmartCast platform loaded with the best selection of built-in apps including WatchFree+ that lets you enjoy free access to live TV and hundreds of free channels right out of the box. SmartCast also works with Apple AirPlay 2 and Chromecast built-in; offering unparalleled entertainment in a size that fits your lifestyle.,Vizio,https://i5.walmartimages.com/asr/8782302f-5f1b-498f-af06-3cc477f95fb3.e34225d118e037e089f4eb3b3681faf5.jpeg,4.4,178,,,,,,,,,,,,,,
19,1,"Sceptre 43 Class 4K UHD LED TV HDR U435CV-U""","Sceptre-43-Class-4K-UHD-LED-TV-HDR-U435CV-U""",Sceptre,U435CV-UMC,<p>With a Sceptre 43-inch LED 4K UHD TV (U435CV-U); entertainment is transformed into an epic adventure. The unequalled color and clear brilliance of 4K (3840 x 2160 or over eight million pixels) will provide more natural and lifelike images than have ever been viewed on a 43-inch screen. Multiple HDMI ports allow you to connect up to four devices at once; so you can stream; browse and listen to all of your favorite multimedia. The HDMI ports are equipped with HDMI 2.0; which let you seamlessly stream 4K video to get the most rewarding viewing experience that is available on the market.</p>,Sceptre,https://i5.walmartimages.com/asr/6150422a-044f-40b2-b3dd-0b4fe8c18c95.31aa45ac91a51bea3aa63cad6ba0f82a.png,4,188,,,,,,,,,,,,,,
20,1,"TCL 55 Class 4-Series 4K UHD HDR Smart Roku TV - 55S41""","TCL-55-Class-4-Series-4K-UHD-HDR-Smart-Roku-TV---55S41""",TCL,55S41,The TCL 4-Series Roku TV offers stunning 4K picture quality with four times the resolution of Full HD for enhanced clarity and detail; as well as endless entertainment with thousands of streaming channels. High dynamic range (HDR) technology delivers bright and accurate colors for a lifelike viewing experience. In addition; your favorite HD shows; movies; and sporting events are enhanced to near Ultra HD resolution with 4K Upscaling. Your favorite broadcast TV; streaming channels; gaming console and other devices are front-and-center within a simple; customizable home screen. There’s no more flipping through inputs or wading through complicated menus. The super-simple remote—with about half the number of buttons on a traditional TV remote—puts you in control of your favorite entertainment and includes one-touch shortcuts to popular channels like Netflix.,TCL,https://i5.walmartimages.com/asr/74649dfa-ffe8-428e-8dad-05fc391a42cf.9110495a41fd002d91684c03cc9e390a.jpeg,3.9,188,,,,,,,,,,,,,,
21,1,"SAMSUNG 32 Class HD (720P) Smart LED TV UN32M4500""","SAMSUNG-32-Class-HD-(720P)-Smart-LED-TV-UN32M4500""",SAMSUNG,UN32M4500BFXZA,<p>Improve your home viewing experience with the SAMSUNG 32 Class HD 720P Smart LED TV (UN32M4500). It features built-in Wi-Fi, so you can connect to the web and many streaming options. It also has an Ethernet port for a wired connection and HDMI ports for adding gaming consoles and other equipment. This Full HD Smart LED TV displays a high quality picture with Ultra Clean View," PurColor and Micro Dimming Pro technologies. Use mirroring to watch the same show on the TV and on your phone at the same time. </p>""",SAMSUNG,https://i5.walmartimages.com/asr/2c0cec83-82f5-469f-a63a-9656a5847846.cc2809739dd8136c937a94007794f366.jpeg,4.3,196.9,,,,,,,,,,,,
22,1,"VIZIO 40 Class D-Series FHD LED Smart TV D40f-J09""","VIZIO-40-Class-D-Series-FHD-LED-Smart-TV-D40f-J09""",VIZIO,D40f-J,Versatility and performance collide with the new D-Series FHD Smart TV that comes loaded with a full array backlight for better contrast and uniformity; brilliant 1080p Full HD resolution and an ultra-fast VIZIO IQ processor with support for immersive audio pass-through for Dolby Atmos and DTS:X. Game on with the V-Gaming Engine that enables next-level gaming performance with features like Variable Refresh Rate with AMD FreeSync; auto game mode; low-latency gaming; and newly added gaming menu. D-Series blends power; speed and versatile size. Stream it all with the award-winning SmartCast platform loaded with the best selection of built-in apps including WatchFree+ that lets you enjoy free access to live TV and hundreds of free channels right out of the box. SmartCast also works with Apple AirPlay 2 and Chromecast built-in; offering unparalleled entertainment in a size that fits your lifestyle.,Vizio,https://i5.walmartimages.com/asr/b4355676-2de8-46a4-8556-13dfc806701c.659bdf512fdf7ed04ef0368f72396dde.jpeg,4.2,198,,,,,,,,,,,,,,
23,1,"Hisense 43 Class 2K FHD LED Roku Smart TV H4030F Series 43H4030F1""","Hisense-43-Class-2K-FHD-LED-Roku-Smart-TV-H4030F-Series-43H4030F1""",Hisense,43H4030F1,<p>For binge-watchers on a budget; be sure to call your spot on the couch. The H4030F1 is born ready with the built-in Roku TV platform; your private portal to more than 5;000 channels; and 500;000 movies and TV episodes. So; no matter how many people you have in your house; there are more than enough must-sees and OMGs to go around. Plus; to make the decision even easier; we made the H4030F1 even simpler. It is packed with built-in Wi-Fi and faster search. Just connect to the Internet; activate; and find your favorite show. With a rich picture and smart features made so easily attainable; it’s hard not to love the H4030F1.</p>,HISENSE,https://i5.walmartimages.com/asr/f6753c8d-8704-4cc8-aa96-4381877ee3f6.80b291996762a7e8907c1c5ee33c9177.jpeg,4,198,,,,,,,,,,,,,,
24,1,onn. 43” Class 4K UHD (2160P) LED Roku Smart TV HDR (100012584),onn.-43”-Class-4K-UHD-(2160P)-LED-Roku-Smart-TV-HDR-(100012584),onn.,100012584,"Binge on movies and TV episodes; news; sports; music and more! We insisted on 4K Ultra High Definition for this 43” LED TV; bringing out more lifelike color; texture and detail. We also partnered with Roku to bring you the best possible content with thousands of channels to choose from; conveniently presented through your own customizable home screen. Watch via cable; satellite; HDTV antenna or just start streaming from your favorite app. Like the sound of your own voice? You can actually use it with the Roku mobile app to search for the title; artist; actor or director; or just go old-school with our handy remote. We handle all software updates too; automatically; so all you have to worry about is what to watch. Lose yourself in the ultimate viewing experience. We're onn.™ to something here. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple…to deliver great products and make it easy. Choose onn. and get back to using your brainpower for the important things in life like pondering the question; What should I binge watch this weekend?""""",onn.,https://i5.walmartimages.com/asr/d95d2f87-b035-42c8-8cb8-f8835a7421b4.ffa4f94a846271c0243d8ff26951af60.jpeg,4.2,198,,,,,,,,,,,,,,
25,1,onn. 39” Class HD (720P) LED Roku Smart TV (100074926),onn.-39”-Class-HD-(720P)-LED-Roku-Smart-TV-(100074926),onn.,100074926,"Binge on movies and TV episodes; news; sports; music and more! We insisted on 720P High Definition for this 39” LED TV; bringing out more lifelike color; texture and detail. We also partnered with Roku to bring you the best possible content with thousands of channels to choose from; conveniently presented through your own customizable home screen. Watch via cable; satellite; HDTV antenna or just start streaming from your favorite app. Like the sound of your own voice? You can actually use it with the Roku mobile app to search for the title; artist; actor or director; or just go old-school with our handy remote. We handle all software updates too; automatically; so all you have to worry about is what to watch. Lose yourself in the ultimate viewing experience. We're onn.™ to something here. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple…to deliver great products and make it easy. Choose onn. and get back to using your brainpower for the important things in life like pondering the question; What should I binge watch this weekend?""""",onn.,https://i5.walmartimages.com/asr/73434900-2db5-4b90-bed8-9ae3a13bccc7.097a3fe1afa082a4b2e856bea59113d4.jpeg,4.3,198,,,,,,,,,,,,,,
26,1,"TCL 43 Class 4-Series 4K UHD HDR Roku Smart TV - 43S431""","TCL-43-Class-4-Series-4K-UHD-HDR-Roku-Smart-TV---43S431""",TCL,43S431,<p>The 4-Series Roku TV delivers stunning 4K picture quality with four times the resolution of Full HD for enhanced clarity and detail; as well as endless entertainment with thousands of streaming channels. High dynamic range (HDR) technology delivers bright and accurate colors for a lifelike viewing experience. In addition; your favorite HD shows; movies; and sporting events are upscaled to near Ultra HD resolution with 4K Upscaling. The simple; personalized home screen allows seamless access to thousands of streaming channels; plus your cable box; Blu-ray player; gaming console; and other devices without flipping through inputs or complicated menus. The super-simple remote—with about half the number of buttons on a traditional TV remote—puts you in control of your favorite entertainment. </p>,TCL,https://i5.walmartimages.com/asr/0ee92b6d-763e-491f-9d34-10f512896f57.7049fd005dfe63effd33524ef034e5d1.jpeg,4.1,218,,,,,,,,,,,,,,
27,1,"RCA 40 Class FHD 1080P Roku LED Smart TV (RTR4060-W)""","RCA-40-Class-FHD-1080P-Roku-LED-Smart-TV-(RTR4060-W)""",RCA,RTR4060-US,<p>Enjoying full HD just got easier. RCA Roku TV puts your favorite broadcast TV programs; streaming channels; gaming console and other devices side-by-side in a simple; intuitive interface. Experience 1080P content with the incredible clarity of FULL HD resolution. The new 1080P RCA ROKU TV allows seamless access to over 500;000 streaming channels such as Netflix; Vudu; and YouTube. This 40 1080P FHD RCA ROKU Smart TV delivers a user-friendly experience: the easy-to-use remote and dual-band wireless make it fast and easy to access your favorite content. Roku search allows you to easily search across top streaming channels by title," actor or directly and now includes voice search. This 40"" 1080p 60Hz LED HDTV has three HDMI inputs for connecting your Game console"," Cable box or even HD Antenna. Cast personal media directly to the TV from your smartphone or tablet using the free Roku mobile app for iOS and android. This RCA ROKU LED HDTV features a sleek modern design with its quad-pedestal stand. It enhances any room in the house. With a true 16:9 aspect ratio for viewing your movies the way that the director intended. Mount the unit on your wall or set it on top of your entertainment center. Works with the Google Assistant.</p>""",CURTIS INTERNATIONAL LTD,https://i5.walmartimages.com/asr/48a8bd5c-d94d-46d2-a569-945073a66de8.7bb224a96a7869562f5965e1cb0c7078.jpeg,4.2,218,,,,,,,,,,,,
28,1,"TCL 40 Class 1080P FHD LED Roku Smart TV 3 Series 40S325""","TCL-40-Class-1080P-FHD-LED-Roku-Smart-TV-3-Series-40S325""",TCL,40S325,<p>Make everyone in the family happy when you have this TCL Roku TV. It puts all your viewing favorites in one place. This TCL 40 smart TV gives you seamless access to over 500,000 movies and shows. Connect your cable box, gaming console, and other devices through a simple," intuitive interface in a sleek modern design. There are three HDMI inputs and it has dual-band Wi-Fi. Enjoy Dolby Digital Plus sound for all of your entertainment for greater immersion. This TCL 1080p Roku Smart LED TV also comes with a quad pedestal stand.</p>""",TCL,https://i5.walmartimages.com/asr/13619f68-218a-4176-8175-2d1f40d0a2ac_2.d3465357ea0279affba57f6143bcfbf2.png,4.4,218,,,,,,,,,,
